Table,Column,Data_Type,Required,Description,Alternative_Keywords
CUSTOMERS,customer_id,Text,Yes,Unique customer ID,"Customer Number, Client ID, Account Number, Customer Code, Client Number, Party ID, Contact ID"
CUSTOMERS,customer_name,Text,Yes,Full customer name,"Name, Full Name, Client Name, Account Name, Company Name, Organization Name"
CUSTOMERS,email,Text,Yes,Primary email,"Email Address, E-mail, Contact Email, Mail"
CUSTOMERS,phone,Text,No,Phone number,"Phone Number, Telephone, Mobile, Cell, Contact Number"
CUSTOMERS,segment,Enum,Yes,Customer segment,"Customer Segment, Tier, Classification, Customer Type, Grade, Group, Category"
CUSTOMERS,status,Enum,Yes,Account status,"Account Status, Customer Status, State, Activity Status"
CUSTOMERS,registration_date,Date,Yes,Account creation date,"Created Date, Sign Up Date, Join Date, Start Date, First Purchase Date"
CUSTOMERS,last_activity_date,Date,No,Last interaction date,"Last Active, Last Login, Last Purchase, Last Transaction"
CUSTOMERS,country,Text,No,Customer country,"Country, Location, Region, Territory, Geography"
CUSTOMERS,city,Text,No,Customer city,"City, Town, Location"
CUSTOMERS,industry,Text,No,Business sector,"Industry, Sector, Business Type, Vertical"
CUSTOMERS,company_size,Text,No,Organization size,"Company Size, Employee Count, Organization Size"
CUSTOMERS,source,Text,No,Acquisition source,"Acquisition Source, Lead Source, Channel, Origin, Referral"
CUSTOMER_TRANSACTIONS,transaction_id,Text,Yes,Unique transaction ID,"Transaction Number, Order Number, Invoice Number, Receipt Number, Sale Number"
CUSTOMER_TRANSACTIONS,customer_id,Text,Yes,Customer reference,"Customer Number, Client ID, Account Number"
CUSTOMER_TRANSACTIONS,transaction_date,DateTime,Yes,Transaction time,"Date, Order Date, Purchase Date, Sale Date, Invoice Date"
CUSTOMER_TRANSACTIONS,amount,Decimal,Yes,Transaction value,"Amount, Value, Total, Sum, Revenue, Sales Amount, Order Value"
CUSTOMER_TRANSACTIONS,currency,Text,Yes,Currency code,"Currency, Currency Code, Money Type"
CUSTOMER_TRANSACTIONS,product_category,Text,No,Product category,"Category, Product Type, Item Category, Department"
CUSTOMER_TRANSACTIONS,quantity,Integer,No,Items purchased,"Quantity, Count, Units, Number of Items"
CUSTOMER_TRANSACTIONS,discount,Decimal,No,Discount applied,"Discount, Discount Amount, Reduction, Rebate"
CUSTOMER_TRANSACTIONS,payment_method,Text,No,Payment type,"Payment Method, Payment Type, Pay Method"
CUSTOMER_TRANSACTIONS,channel,Text,No,Sales channel,"Channel, Sales Channel, Source, Platform, Touchpoint"
CUSTOMER_METRICS,customer_id,Text,Yes,Customer reference,"Customer Number, Client ID"
CUSTOMER_METRICS,lifetime_value,Decimal,Yes,Customer lifetime value,"CLV, LTV, Lifetime Value, Customer Value, Total Revenue"
CUSTOMER_METRICS,total_revenue,Decimal,Yes,Total revenue generated,"Revenue, Total Sales, Cumulative Revenue, Total Spend"
CUSTOMER_METRICS,total_orders,Integer,Yes,Total order count,"Orders, Order Count, Purchase Count, Transaction Count"
CUSTOMER_METRICS,average_order_value,Decimal,Yes,Average order value,"AOV, Average Order, Average Purchase, Average Basket"
CUSTOMER_METRICS,purchase_frequency,Decimal,Yes,Purchases per period,"Frequency, Purchase Rate, Order Frequency"
CUSTOMER_METRICS,days_since_last_purchase,Integer,Yes,Recency in days,"Recency, Days Inactive, Days Since Last Buy"
CUSTOMER_METRICS,engagement_score,Decimal,Yes,Engagement level (0-100),"Engagement, Activity Score, Interaction Score"
CUSTOMER_METRICS,satisfaction_score,Decimal,No,Satisfaction rating,"CSAT, Satisfaction, Customer Satisfaction, Happiness Score"
CUSTOMER_METRICS,nps_score,Integer,No,Net Promoter Score,"NPS, Net Promoter, Promoter Score, Recommendation Score"
CUSTOMER_METRICS,churn_risk,Decimal,Yes,Churn probability (0-100),"Churn Risk, Risk Score, Attrition Risk, Leave Probability"
CUSTOMER_METRICS,health_score,Decimal,No,Overall health (0-100),"Health, Customer Health, Account Health"
CUSTOMER_INTERACTIONS,interaction_id,Text,Yes,Unique interaction ID,"Interaction Number, Activity ID, Event ID, Touchpoint ID"
CUSTOMER_INTERACTIONS,customer_id,Text,Yes,Customer reference,"Customer Number, Client ID"
CUSTOMER_INTERACTIONS,interaction_date,DateTime,Yes,Interaction time,"Date, Activity Date, Event Date, Contact Date"
CUSTOMER_INTERACTIONS,interaction_type,Enum,Yes,Type of interaction,"Type, Channel, Medium, Touchpoint, Contact Type"
CUSTOMER_INTERACTIONS,channel,Text,Yes,Interaction channel,"Channel, Medium, Platform, Source"
CUSTOMER_INTERACTIONS,direction,Enum,No,Inbound or outbound,"Direction, Flow, Initiated By"
