Table,Column,Data_Type,Required,Description,Alternative_Keywords
EXPENSES,expense_id,Text,Yes,Unique expense ID,"Expense Number, Transaction ID, Voucher Number, Entry Number, Document Number, Claim Number"
EXPENSES,expense_date,Date,Yes,Expense date,"Date, Transaction Date, Posting Date, Entry Date, Voucher Date"
EXPENSES,amount,Decimal,Yes,Expense amount,"Amount, Value, Sum, Total, Cost, Expenditure"
EXPENSES,currency,Text,Yes,Currency code,"Currency, Currency Code"
EXPENSES,category,Text,Yes,Expense category,"Category, Type, Classification, Expense Type, Account, Cost Type"
EXPENSES,subcategory,Text,No,Expense subcategory,"Subcategory, Sub-type, Detail Category"
EXPENSES,description,Text,No,Expense description,"Description, Details, Narrative, Notes, Purpose, Memo"
EXPENSES,department,Text,Yes,Requesting department,"Department, Cost Center, Business Unit, Division"
EXPENSES,employee_id,Text,Yes,Requester ID,"Employee ID, User ID, Requester, Claimant, Submitter"
EXPENSES,employee_name,Text,No,Requester name,"Name, Employee Name, Requester Name"
EXPENSES,vendor,Text,No,Vendor/payee,"Vendor, Supplier, Payee, Merchant, Provider"
EXPENSES,payment_method,Text,No,Payment type,"Payment Method, Pay Type, Payment Mode"
EXPENSES,receipt,Boolean,No,Receipt attached,"Receipt, Attachment, Document, Proof"
EXPENSES,status,Enum,Yes,Approval status,"Status, State, Approval Status, Workflow Status"
EXPENSES,type,Enum,Yes,Fixed or variable,"Type, Cost Type, Expense Nature, Classification"
EXPENSES,project,Text,No,Project reference,"Project, Project Code, Work Order, Cost Object"
EXPENSES,budget_code,Text,No,Budget line item,"Budget Code, Budget Line, GL Account, Account Code"
EXPENSE_CATEGORIES,category_id,Text,Yes,Unique category ID,"Category Number, Code, Category Code"
EXPENSE_CATEGORIES,category_name,Text,Yes,Category display name,"Name, Category Name, Title, Label"
EXPENSE_CATEGORIES,parent_category,Text,No,Parent category,"Parent, Parent Category, Main Category"
EXPENSE_CATEGORIES,type,Enum,Yes,Fixed or variable,"Type, Category Type, Nature"
EXPENSE_CATEGORIES,budget_limit,Decimal,No,Monthly budget limit,"Limit, Budget, Cap, Maximum"
EXPENSE_CATEGORIES,gl_account,Text,No,General ledger account,"GL Account, Account Number, Ledger Code"
EXPENSE_CATEGORIES,active,Boolean,Yes,Is category active,"Active, Enabled, Live"
EXPENSE_BUDGETS,budget_id,Text,Yes,Unique budget ID,"Budget Number, Budget Code, Allocation Number"
EXPENSE_BUDGETS,period,Text,Yes,Budget period,"Period, Month, Year, Fiscal Period"
EXPENSE_BUDGETS,department,Text,Yes,Department,"Department, Cost Center, Business Unit"
EXPENSE_BUDGETS,category,Text,No,Category (if category budget),"Category, Expense Type"
EXPENSE_BUDGETS,budget_amount,Decimal,Yes,Budgeted amount,"Budget, Allocation, Planned, Target"
EXPENSE_BUDGETS,actual_amount,Decimal,No,Actual spent,"Actual, Spent, Expenditure"
EXPENSE_BUDGETS,variance,Decimal,No,Variance (Actual - Budget),"Variance, Difference, Over/Under"
EXPENSE_BUDGETS,variance_pct,Decimal,No,Variance percentage,"Variance %, Deviation %, Over/Under %"
EXPENSE_BUDGETS,forecast,Decimal,No,Forecasted total,"Forecast, Projected, Estimated"
EXPENSE_BUDGETS,status,Enum,No,Budget status,"Status, Health, State"
EXPENSE_APPROVALS,approval_id,Text,Yes,Unique approval ID,"Approval Number, Workflow Number, Task Number"
EXPENSE_APPROVALS,expense_id,Text,Yes,Expense reference,"Expense Number, Claim Number"
EXPENSE_APPROVALS,approver_id,Text,Yes,Approver ID,"Approver, Reviewer, Authorizer, Manager ID"
EXPENSE_APPROVALS,approver_name,Text,No,Approver name,"Name, Approver Name, Manager Name"
EXPENSE_APPROVALS,approval_level,Integer,Yes,Approval level (1 2 3...),"Level, Step, Stage, Tier"
EXPENSE_APPROVALS,submission_date,DateTime,Yes,When submitted for approval,"Submitted, Submission Date, Request Date"
EXPENSE_APPROVALS,approval_date,DateTime,No,When approved/rejected,"Approval Date, Action Date, Decision Date"
EXPENSE_APPROVALS,status,Enum,Yes,Approval status,"Status, Decision, Outcome"
EXPENSE_APPROVALS,comments,LongText,No,Approver comments,"Comments, Notes, Remarks, Reason"
EXPENSE_APPROVALS,amount,Decimal,Yes,Amount for approval,"Amount, Value"
EXPENSE_METRICS,period,Text,Yes,Time period,"Period, Month, Year-Month"
EXPENSE_METRICS,department,Text,No,Department (null for total),"Department, Cost Center"
EXPENSE_METRICS,category,Text,No,Category (null for total),"Category, Expense Type"
EXPENSE_METRICS,total_expenses,Decimal,Yes,Total expenses,"Total, Sum, Expenditure"
EXPENSE_METRICS,expense_count,Integer,Yes,Transaction count,"Count, Transactions, Entries"
EXPENSE_METRICS,avg_expense,Decimal,No,Average expense,"Average, Mean"
EXPENSE_METRICS,budget_amount,Decimal,No,Budget for period,"Budget, Allocation"
EXPENSE_METRICS,variance,Decimal,No,Budget variance,"Variance, Difference"
EXPENSE_METRICS,fixed_expenses,Decimal,No,Total fixed expenses,"Fixed, Overhead"
EXPENSE_METRICS,variable_expenses,Decimal,No,Total variable expenses,"Variable, Discretionary"
EXPENSE_METRICS,pending_approvals,Integer,No,Pending approval count,"Pending, Awaiting"
EXPENSE_METRICS,mom_change,Decimal,No,Month-over-month change,"MoM, Monthly Change"
EXPENSE_METRICS,yoy_change,Decimal,No,Year-over-year change,"YoY, Annual Change"
