Table,Column,Data_Type,Required,Description,Alternative_Keywords
INVENTORY_ITEMS,item_id,Text,Yes,Unique item ID,"Item Number, SKU, Stock Code, Part Number, Product Number, Article Number, Material Number, Catalog Number, Barcode"
INVENTORY_ITEMS,item_name,Text,Yes,Item name/description,"Name, Description, Item Name, Product Name, Title, Part Name"
INVENTORY_ITEMS,category,Text,Yes,Item category,"Category, Product Category, Type, Classification, Group, Family"
INVENTORY_ITEMS,subcategory,Text,No,Item subcategory,"Subcategory, Sub-type"
INVENTORY_ITEMS,unit,Text,Yes,Unit of measure,"Unit, UOM, Measure, Unit of Quantity"
INVENTORY_ITEMS,cost_price,Decimal,Yes,Cost per unit,"Cost, Unit Cost, Purchase Price, Standard Cost, Landed Cost"
INVENTORY_ITEMS,selling_price,Decimal,No,Selling price per unit,"Price, Sell Price, List Price, Retail Price"
INVENTORY_ITEMS,quantity_on_hand,Integer,Yes,Current stock quantity,"Quantity, QOH, Stock, On Hand, Available, Current Stock"
INVENTORY_ITEMS,reorder_point,Integer,Yes,Minimum stock level,"Reorder Point, ROP, Min Level, Safety Stock, Alert Point"
INVENTORY_ITEMS,reorder_quantity,Integer,Yes,Order quantity,"Reorder Qty, Order Quantity, EOQ, Lot Size"
INVENTORY_ITEMS,max_stock,Integer,No,Maximum stock level,"Max Level, Maximum, Upper Limit, Ceiling"
INVENTORY_ITEMS,lead_time_days,Integer,Yes,Supplier lead time,"Lead Time, Delivery Days, Replenishment Time"
INVENTORY_ITEMS,warehouse_id,Text,Yes,Primary warehouse,"Warehouse, Location, Store, Site, Facility"
INVENTORY_ITEMS,bin_location,Text,No,Shelf/bin location,"Bin, Location, Shelf, Slot, Position, Rack"
INVENTORY_ITEMS,status,Enum,Yes,Item status,"Status, State, Availability"
INVENTORY_ITEMS,supplier_id,Text,No,Primary supplier,"Supplier, Vendor, Source"
INVENTORY_ITEMS,barcode,Text,No,Barcode/UPC,"Barcode, UPC, EAN, GTIN, Scan Code"
INVENTORY_ITEMS,weight,Decimal,No,Item weight,"Weight, Mass, Net Weight"
INVENTORY_ITEMS,dimensions,Text,No,Dimensions,"Dimensions, Size, Measurements, LxWxH"
INVENTORY_ITEMS,last_received_date,Date,No,Last receipt date,"Last Received, Last Receipt, Last Stock In"
