Table,Column,Data_Type,Required,Description,Alternative_Keywords
PURCHASE_ORDERS,po_id,Text,Yes,Unique PO ID,"PO Number, Order Number, Purchase Order, Procurement Number"
PURCHASE_ORDERS,po_date,Date,Yes,Order creation date,"Date, Order Date, Issue Date, PO Date"
PURCHASE_ORDERS,supplier_id,Text,Yes,Supplier reference,"Supplier, Vendor, Vendor ID"
PURCHASE_ORDERS,supplier_name,Text,No,Supplier name,"Supplier Name, Vendor Name"
PURCHASE_ORDERS,total_amount,Decimal,Yes,Total order value,"Amount, Value, Total, PO Value, Order Value"
PURCHASE_ORDERS,currency,Text,Yes,Currency code,"Currency, Currency Code"
PURCHASE_ORDERS,status,Enum,Yes,Order status,"Status, State, Order Status"
PURCHASE_ORDERS,expected_delivery,Date,Yes,Expected delivery date,"Delivery Date, Due Date, Expected Date, ETA"
PURCHASE_ORDERS,actual_delivery,Date,No,Actual delivery date,"Receipt Date, Actual Date, GRN Date"
PURCHASE_ORDERS,department,Text,Yes,Requesting department,"Department, Cost Center, Business Unit"
PURCHASE_ORDERS,buyer_id,Text,Yes,Buyer/procurement officer,"Buyer, Purchaser, Officer, Creator"
PURCHASE_ORDERS,buyer_name,Text,No,Buyer name,"Buyer Name"
PURCHASE_ORDERS,category,Text,Yes,Purchase category,"Category, Commodity, Product Category"
PURCHASE_ORDERS,priority,Enum,No,Order priority,"Priority, Urgency, Importance"
PURCHASE_ORDERS,payment_terms,Text,No,Payment terms,"Terms, Payment Terms"
PURCHASE_ORDERS,shipping_method,Text,No,Shipping method,"Shipping, Freight, Delivery Method"
PURCHASE_ORDERS,notes,LongText,No,Order notes,"Notes, Comments, Remarks"
PURCHASE_ORDERS,approved_by,Text,No,Approver,"Approver, Authorized By"
PURCHASE_ORDERS,approval_date,Date,No,Approval date,"Approval Date"
PURCHASE_ORDER_LINES,line_id,Text,Yes,Unique line ID,"Line Number, Item Number, Detail Number"
PURCHASE_ORDER_LINES,po_id,Text,Yes,PO reference,"PO Number, Order Number"
PURCHASE_ORDER_LINES,item_id,Text,Yes,Item/product ID,"Item, SKU, Product, Part Number"
PURCHASE_ORDER_LINES,item_name,Text,Yes,Item description,"Description, Item Name, Product Name"
PURCHASE_ORDER_LINES,quantity,Integer,Yes,Quantity ordered,"Quantity, Count, Units, Order Qty"
PURCHASE_ORDER_LINES,unit_price,Decimal,Yes,Price per unit,"Price, Unit Price, Cost, Rate"
PURCHASE_ORDER_LINES,line_total,Decimal,Yes,Line total,"Total, Amount, Line Amount"
PURCHASE_ORDER_LINES,unit,Text,Yes,Unit of measure,"Unit, UOM"
PURCHASE_ORDER_LINES,received_qty,Integer,No,Quantity received,"Received, Delivered Qty"
PURCHASE_ORDER_LINES,status,Enum,No,Line status,"Status, State"
PURCHASE_ORDER_LINES,delivery_date,Date,No,Line delivery date,"Delivery, Expected Date"
PURCHASE_METRICS,period,Text,Yes,Time period,"Period, Month, Year-Month"
PURCHASE_METRICS,supplier_id,Text,No,Supplier (null for total),"Supplier, Vendor"
PURCHASE_METRICS,category,Text,No,Category (null for total),"Category, Commodity"
PURCHASE_METRICS,department,Text,No,Department (null for total),"Department, Cost Center"
PURCHASE_METRICS,total_spend,Decimal,Yes,Total spend,"Spend, Amount, Value"
PURCHASE_METRICS,order_count,Integer,Yes,Number of POs,"Orders, PO Count"
PURCHASE_METRICS,line_count,Integer,No,Number of line items,"Lines, Items"
PURCHASE_METRICS,avg_order_value,Decimal,No,Average PO value,"AOV, Average"
PURCHASE_METRICS,on_time_delivery,Decimal,No,On-time delivery %,"OTD, On Time"
