Table,Column,Data_Type,Required,Description,Alternative_Keywords
SALES_ORDERS,order_id,Text,Yes,Unique order ID,"Order Number, Sales Order, SO Number, Invoice Number, Transaction Number, Receipt Number"
SALES_ORDERS,order_date,DateTime,Yes,Order time,"Date, Order Date, Sale Date, Transaction Date, Invoice Date"
SALES_ORDERS,customer_id,Text,Yes,Customer reference,"Customer, Client, Account, Customer Number, Buyer"
SALES_ORDERS,customer_name,Text,No,Customer name,"Customer Name, Client Name, Account Name"
SALES_ORDERS,total_amount,Decimal,Yes,Order total,"Amount, Total, Value, Sum, Revenue, Sales Amount, Invoice Total"
SALES_ORDERS,currency,Text,Yes,Currency code,"Currency, Currency Code"
SALES_ORDERS,status,Enum,Yes,Order status,"Status, State, Order Status"
SALES_ORDERS,salesperson_id,Text,Yes,Sales rep ID,"Salesperson, Rep, Agent, Sales Rep, Account Manager"
SALES_ORDERS,salesperson_name,Text,No,Sales rep name,"Rep Name, Salesperson Name"
SALES_ORDERS,region,Text,No,Sales region,"Region, Territory, Area, Zone, Market, Geography"
SALES_ORDERS,channel,Text,No,Sales channel,"Channel, Source, Platform, Medium"
SALES_ORDERS,payment_method,Text,No,Payment type,"Payment, Payment Method, Pay Type"
SALES_ORDERS,payment_status,Enum,No,Payment status,"Payment Status, Paid, Pay State"
SALES_ORDERS,shipping_address,Text,No,Delivery address,"Shipping, Address, Delivery Address"
SALES_ORDERS,discount,Decimal,No,Discount applied,"Discount, Reduction, Rebate"
SALES_ORDERS,tax,Decimal,No,Tax amount,"Tax, VAT, Sales Tax"
SALES_ORDERS,profit,Decimal,No,Order profit,"Profit, Margin, Net, Gain"
SALES_ORDERS,cost,Decimal,No,Order cost,"Cost, COGS"
SALES_ORDERS,notes,LongText,No,Order notes,"Notes, Comments"
SALES_ORDER_LINES,line_id,Text,Yes,Unique line ID,"Line Number, Item Number"
SALES_ORDER_LINES,order_id,Text,Yes,Order reference,"Order Number, SO Number, Invoice"
SALES_ORDER_LINES,product_id,Text,Yes,Product/item ID,"Product, SKU, Item, Part Number"
SALES_ORDER_LINES,product_name,Text,Yes,Product name,"Name, Description, Product Name"
SALES_ORDER_LINES,quantity,Integer,Yes,Quantity sold,"Quantity, Count, Units, Qty"
SALES_ORDER_LINES,unit_price,Decimal,Yes,Price per unit,"Price, Unit Price, Rate, Sell Price"
SALES_ORDER_LINES,line_total,Decimal,Yes,Line total,"Total, Amount, Extended, Line Amount"
SALES_ORDER_LINES,discount,Decimal,No,Line discount,"Discount, Reduction"
SALES_ORDER_LINES,cost,Decimal,No,Line cost,"Cost, Unit Cost, COGS"
SALES_ORDER_LINES,profit,Decimal,No,Line profit,"Profit, Margin"
SALES_ORDER_LINES,category,Text,No,Product category,"Category, Type, Product Category"
SALES_METRICS,period,Text,Yes,Time period,"Period, Month, Year-Month, Date"
SALES_METRICS,granularity,Enum,Yes,Time granularity,"Granularity, Level, Time Type"
SALES_METRICS,region,Text,No,Region (null for total),"Region, Territory"
SALES_METRICS,salesperson_id,Text,No,Rep (null for total),"Salesperson, Rep"
SALES_METRICS,product_id,Text,No,Product (null for total),"Product, SKU"
SALES_METRICS,category,Text,No,Category (null for total),"Category, Product Category"
SALES_METRICS,total_revenue,Decimal,Yes,Total revenue,"Revenue, Sales, Amount, Turnover"
SALES_METRICS,total_orders,Integer,Yes,Order count,"Orders, Transactions, Count"
SALES_METRICS,total_quantity,Integer,Yes,Units sold,"Quantity, Units, Volume"
SALES_METRICS,total_profit,Decimal,No,Total profit,"Profit, Margin, Net Income"
SALES_METRICS,avg_order_value,Decimal,No,Average order,"AOV, Average"
SALES_METRICS,conversion_rate,Decimal,No,Conversion %,"Conversion, Close Rate, Win Rate"
SALES_METRICS,return_rate,Decimal,No,Return %,"Returns, Return Rate, Refund Rate"
SALES_METRICS,unique_customers,Integer,No,Customer count,"Customers, Buyers"
SALES_METRICS,new_customers,Integer,No,New customers,"New, First-time, Acquired"
SALES_METRICS,mom_change,Decimal,No,Monthly change,"MoM, Month Change"
SALES_METRICS,yoy_change,Decimal,No,Annual change,"YoY, Year Change"
SALES_PIPELINE,opportunity_id,Text,Yes,Unique opportunity ID,"Opportunity Number, Deal ID, Lead Number"
SALES_PIPELINE,opportunity_name,Text,Yes,Opportunity name,"Name, Deal Name, Opportunity, Title"
SALES_PIPELINE,customer_id,Text,Yes,Customer/prospect,"Customer, Prospect, Lead, Account"
SALES_PIPELINE,customer_name,Text,No,Customer name,"Customer Name, Company"
SALES_PIPELINE,value,Decimal,Yes,Opportunity value,"Value, Amount, Deal Size, Expected Revenue"
SALES_PIPELINE,stage,Enum,Yes,Pipeline stage,"Stage, Phase, Status, Step"
SALES_PIPELINE,probability,Decimal,Yes,Win probability %,"Probability, Confidence, Win Rate"
SALES_PIPELINE,weighted_value,Decimal,No,Value x Probability,"Weighted, Expected Value, Forecast"
SALES_PIPELINE,salesperson_id,Text,Yes,Owner/rep,"Salesperson, Owner, Rep"
SALES_PIPELINE,created_date,Date,Yes,When created,"Created, Open Date, Start Date"
SALES_PIPELINE,expected_close,Date,Yes,Expected close date,"Close Date, Expected, Target Date"
SALES_PIPELINE,actual_close,Date,No,Actual close date,"Close Date, Won Date"
SALES_PIPELINE,source,Text,No,Lead source,"Source, Origin, Lead Source, Channel"
SALES_PIPELINE,product,Text,No,Product interest,"Product, Interest, Solution"
SALES_PIPELINE,notes,LongText,No,Opportunity notes,"Notes, Comments"
PRODUCTS,product_id,Text,Yes,Unique product ID,"Product Number, SKU, Item Number, Part Number"
PRODUCTS,product_name,Text,Yes,Product name,"Name, Title, Description"
PRODUCTS,category,Text,Yes,Product category,"Category, Type, Classification"
PRODUCTS,subcategory,Text,No,Subcategory,"Subcategory, Sub-type"
PRODUCTS,unit_price,Decimal,Yes,Selling price,"Price, Sell Price, List Price, Retail Price"
PRODUCTS,cost_price,Decimal,Yes,Cost price,"Cost, Unit Cost, COGS, Standard Cost"
PRODUCTS,margin,Decimal,No,Profit margin %,"Margin, Profit Margin"
PRODUCTS,status,Enum,Yes,Product status,"Status, State"
PRODUCTS,stock_quantity,Integer,No,Available stock,"Stock, Inventory, Available"
SALES_TARGETS,target_id,Text,Yes,Unique target ID,"Target Number, Quota Number"
SALES_TARGETS,period,Text,Yes,Target period,"Period, Month, Quarter, Year"
SALES_TARGETS,salesperson_id,Text,No,Rep (null for team),"Salesperson, Rep"
SALES_TARGETS,region,Text,No,Region (null for all),"Region, Territory"
SALES_TARGETS,target_revenue,Decimal,Yes,Revenue target,"Target, Quota, Goal, Budget"
SALES_TARGETS,target_orders,Integer,No,Order target,"Orders, Transaction Target"
SALES_TARGETS,actual_revenue,Decimal,No,Actual revenue,"Actual, Achieved, Revenue"
SALES_TARGETS,actual_orders,Integer,No,Actual orders,"Orders, Transactions"
SALES_TARGETS,achievement,Decimal,No,Achievement %,"Achievement, Attainment, Progress"
SALES_TARGETS,variance,Decimal,No,Target variance,"Variance, Gap, Difference"
PROMOTIONS,promotion_id,Text,Yes,Unique promotion ID,"Promotion Number, Campaign ID, Promo Number"
PROMOTIONS,promotion_name,Text,Yes,Promotion name,"Name, Campaign Name, Title"
PROMOTIONS,start_date,Date,Yes,Start date,"Start, From Date, Launch Date"
PROMOTIONS,end_date,Date,Yes,End date,"End, To Date, Expiry Date"
PROMOTIONS,discount_type,Enum,Yes,Discount type,"Type, Discount Type, Offer Type"
PROMOTIONS,discount_value,Decimal,Yes,Discount amount/%,"Value, Discount, Amount, Percentage"
PROMOTIONS,products,Text,No,Eligible products,"Products, Items, Applicable"
PROMOTIONS,min_purchase,Decimal,No,Minimum order value,"Minimum, Min Purchase, Threshold"
PROMOTIONS,budget,Decimal,No,Campaign budget,"Budget, Spend, Investment"
PROMOTIONS,actual_spend,Decimal,No,Actual spent,"Spend, Cost, Actual"
PROMOTIONS,orders_generated,Integer,No,Orders from promotion,"Orders, Conversions, Sales"
PROMOTIONS,revenue_generated,Decimal,No,Revenue from promotion,"Revenue, Sales, Amount"
PROMOTIONS,roi,Decimal,No,Return on investment,"ROI, Return, Effectiveness"
PROMOTIONS,status,Enum,Yes,Promotion status,"Status, State"
